Shortest Distance to Surfaces Surfaces=Surfaces 1,Intensity Sum Ch=2 Img=2,Channel,Image,ID,Surpass Object,Surpass Object Data ID
2.6,9.01e4,2,Image 2,0,All AuNP,200001
-8.69,4.81e4,2,Image 2,1,All AuNP,200001
128,1.06e5,2,Image 2,2,All AuNP,200001
115,4.42e4,2,Image 2,3,All AuNP,200001
94.3,7.64e4,2,Image 2,4,All AuNP,200001
-3.22,8.23e4,2,Image 2,5,All AuNP,200001
-2.06,5.15e4,2,Image 2,6,All AuNP,200001
-3.06,4.44e4,2,Image 2,7,All AuNP,200001
-15.9,5.95e4,2,Image 2,8,All AuNP,200001
3.81,4.50e4,2,Image 2,9,All AuNP,200001
2.62,4.87e4,2,Image 2,10,All AuNP,200001
-0.818,5.88e4,2,Image 2,11,All AuNP,200001
-3.03,4.74e4,2,Image 2,12,All AuNP,200001
-15,1.71e5,2,Image 2,13,All AuNP,200001
-4.16,8.02e4,2,Image 2,14,All AuNP,200001
-16,1.60e5,2,Image 2,15,All AuNP,200001
0.474,7.81e4,2,Image 2,16,All AuNP,200001
-1.73,7.43e4,2,Image 2,17,All AuNP,200001
-3.63,9.61e4,2,Image 2,18,All AuNP,200001
-3.05,6.73e4,2,Image 2,19,All AuNP,200001
-5.15,1.34e5,2,Image 2,20,All AuNP,200001
66.6,3.20e5,2,Image 2,21,All AuNP,200001
-0.98,2.29e5,2,Image 2,22,All AuNP,200001
77.2,6.27e4,2,Image 2,23,All AuNP,200001
-1.19,1.67e5,2,Image 2,24,All AuNP,200001
-0.727,5.92e4,2,Image 2,25,All AuNP,200001
39.8,1.21e5,2,Image 2,26,All AuNP,200001
31.7,6.31e4,2,Image 2,27,All AuNP,200001
27.8,1.11e5,2,Image 2,28,All AuNP,200001
-6.02,4.80e4,2,Image 2,29,All AuNP,200001
-3.96,5.25e4,2,Image 2,30,All AuNP,200001
-10.3,7.59e4,2,Image 2,31,All AuNP,200001
-0.997,4.09e4,2,Image 2,32,All AuNP,200001
-9.34,5.57e4,2,Image 2,33,All AuNP,200001
-7.69,1.51e5,2,Image 2,34,All AuNP,200001
-11.5,1.00e5,2,Image 2,35,All AuNP,200001
-2.66,5.97e4,2,Image 2,36,All AuNP,200001
-1.83,9.01e4,2,Image 2,37,All AuNP,200001
-4.57,5.27e4,2,Image 2,38,All AuNP,200001
0.15,3.39e4,2,Image 2,39,All AuNP,200001
-5.29,6.16e4,2,Image 2,40,All AuNP,200001
3.14,6.15e4,2,Image 2,41,All AuNP,200001
-1.41,6.04e4,2,Image 2,42,All AuNP,200001
-2.69,4.60e4,2,Image 2,43,All AuNP,200001
-21.8,4.89e4,2,Image 2,44,All AuNP,200001
3.19,3.55e4,2,Image 2,45,All AuNP,200001
-3.73,6.88e4,2,Image 2,46,All AuNP,200001
-3.12,5.76e4,2,Image 2,47,All AuNP,200001
-22.2,2.23e5,2,Image 2,48,All AuNP,200001
2.12,7.45e4,2,Image 2,49,All AuNP,200001
-33.1,3.69e4,2,Image 2,50,All AuNP,200001
-5.85,1.00e5,2,Image 2,51,All AuNP,200001
-3.2,5.45e4,2,Image 2,52,All AuNP,200001
-28.6,1.54e5,2,Image 2,53,All AuNP,200001
-2.88,9.21e4,2,Image 2,54,All AuNP,200001
-42.6,3.90e4,2,Image 2,55,All AuNP,200001
-23,9.52e4,2,Image 2,56,All AuNP,200001
-40.9,4.35e5,2,Image 2,57,All AuNP,200001
-17.8,1.24e5,2,Image 2,58,All AuNP,200001
4.53,6.34e4,2,Image 2,59,All AuNP,200001
-28.3,1.44e5,2,Image 2,60,All AuNP,200001
-41.2,2.84e5,2,Image 2,61,All AuNP,200001
-11.4,4.66e4,2,Image 2,62,All AuNP,200001
-11.4,5.35e4,2,Image 2,63,All AuNP,200001
-3.56,4.98e4,2,Image 2,64,All AuNP,200001
